code;(near-) identical experiments;data type;task;task info;bias type;block design;task instructions;attention;task phases;response time limit;response;sensory input;stimuli (figures) total;figure congruence type;figure congruence type info;distractor presentation;stimulus type;stimuli;figure position;size local features;size global features;trial number;trials info;congruent trial fraction;other trial fraction;other trials info;incongruent trial fraction;task conditions;task conditions info;participant number;participant info;approx mean age;groups;groups info;sessions;sessions info;approximate testing year;median RT;mean RT;mean accuracy;paper
QJPG;N/A;summary data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;glo-loc;asked to respond as fast as possible;directed;1;N/A;report feature;visual;1;identity;N/A;random (Stroop-interference);shapes;square, circle, cross (cross is neutral);flexible;0.5° × 0.5;square (4.9°× 4.9°), circle (5.6°× 5.6°), cross (4.9° × 5.3°);180;N/A;0.33;0.33;neutral trials, type 1 (neutral local elements + meaningful global shape OR vice versa);0.33;1;N/A;100;N/A;23;4;four racial/cultural groups;1;N/A;2021;500;529;0.95;https://doi.org/10.1038/s41598-021-87933-1
WHIK;C;summary data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;loc-glo OR glo-loc;no mention of speed or accuracy in methods section;directed;1;N/A;report feature;visual;1;identity;N/A;random (Stroop-interference);shapes;arrows (left and right);fixed;1°;8.5°;192;N/A;0.5;0;N/A;0.5;2;no cue, auditory cue alerting to an incoming figure;40;Israeli adolescents;16;2;healthy and weight-restored anorexia nervosa;1;N/A;2017;N/A;613;N/A;https://doi.org/10.1002/eat.22711
PBCZ;N/A;summary data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;glo-loc-glo-loc;N/A;directed;1;N/A;report feature;visual;1;identity;N/A;random (Stroop-interference);shapes;heart, star;fixed;24-point font;7.15 cm × 8.18 cm;16;N/A;0.5;0;N/A;0.5;1;N/A;122;down syndrom and children;7;2;down syndrom and mental-age-matched children;1;N/A;2021;N/A;2284;N/A;https://doi.org/10.1080/87565641.2021.1985121
EZIG;N/A;summary data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;loc-glo (no mention of counterbalance);make an accurate decision as quickly as possible;directed;1;N/A;report feature;auditory;N/A;direction;"local level is three tones in a triplet, global level is three triplets; the pitch within a triplet can rise or fall and the pitch over triples can rise and fall; these when both levels have the same direction, they are congruent";random (Stroop-interference);tone;N/A;N/A;N/A;N/A;160;N/A;0.5;0;N/A;0.5;1;N/A;45;young adults;23;2;typical, ADHD (non-medicated on test day);1;N/A;2023;N/A;4502;0.641;https://doi.org/10.1177/10870547231153952
GJUR;N/A;trial data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;glo-loc-glo-loc OR loc-glo-loc-glo;"""participants were instructed that they were to respond"" (no mention of speed)";directed;1;N/A;report feature;visual;1;identity;N/A;random (Stroop-interference);letter;S, H;flexible;0.4 cm × 0.7 cm;3 cm × 4.5 cm;640;N/A;0.5;0;N/A;0.5;1;N/A;40;undergrad students;20;1;N/A;2;3 weeks apart, same daytime;2018;450;485;0.920;https://doi.org/10.3758/s13428-017-0935-1
MXMN;N/A;trial data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;loc-glo OR glo-loc;as quickly and accurately as they could;directed;1;N/A;report feature;visual;1;identity;N/A;random (Stroop-interference);letter;S, H, X (X is neutral);fixed;0.2° × 0.3°;4.3° × 5.5°;120;N/A;0.33;0.33;neutal trials, type 2 (neutral local elements + meaningful global shape OR meaningful local elements, no global shape);0.33;1;N/A;434;psychology students, 19% male;20;1;N/A;1;N/A;2018;415;439;0.951;https://doi.org/10.1016/j.concog.2018.09.002
BGIY;N/A;trial data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;loc-glo-loc-glo;N/A;directed;1;N/A;report feature;visual;1;identity;N/A;random (Stroop-interference);letter;S, H;fixed;N/A;N/A;96;for a few participants a small number of trials from the end of the first local block are mssing and were manually added as NA;0.5;0;N/A;0.5;1;N/A;6660;online participants, demographic info;28;1;N/A;1;N/A;2020;805;1013;0.960;multiple, see BGYI-component
LMOR;B;summary data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;loc-glo OR glo-loc;respond as quickly and accurately as possible;directed;1;N/A;report feature;visual;1;identity;N/A;random (Stroop-interference);letter;S, H, # (# is neutral (irrelvant) local element in neutral global trials);fixed;1.06°× 0.82°;7.36°× 5.32°;240;N/A;0.33;0.33;neutal trials, type 2 (neutral local elements + meaningful global shape OR meaningful local elements, no global shape);0.33;1;N/A;266;university students, spain;22;4;male, female (follicular, luteal, contraceptive);1;N/A;2021;527;533;0.906;https://www.frontiersin.org/articles/10.3389/fpsyg.2021.546483
WLSQ1;D;trial data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;loc-glo-priming-glo-loc OR glo-loc-priming-loc-glo;respond as quickly as possible while also maintaining high accuracy;directed;1;N/A;report feature;visual;1;type;incongruent: letters on one and number on other level, congruent: either letter or number on both levels;random (Stroop-interference);letters, numbers;A, E, F, H, L, P, 2, 3, 4, 6, 7, 9;fixed;1.90° × 2.53° in global block, 1.43° × 1.90° in local block;"""font size 10/9 characters"" in global/local block";792;N/A;0.5;0;N/A;0.5;2;trials shown either before of after performing the continuous performance task (CPT);100;university students, west australia;18;1;N/A;1;N/A;2017;521;593;0.917;https://doi.org/10.1007/s10803-017-3198-x
WLSQ2;D;trial data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;loc-glo-priming-glo-loc OR glo-loc-priming-loc-glo;respond as quickly as possible while also maintaining high accuracy;directed;1;N/A;report feature;visual;1;type;incongruent: letters on one and number on other level, congruent: either letter or number on both levels;random (Stroop-interference);letters, numbers;A, E, F, H, L, P, 2, 3, 4, 6, 7, 10;fixed;1.90° × 2.53° in global block, 1.43° × 1.90° in local block;"""font size 10/9 characters"" in global/local block";528;N/A;0.5;0;N/A;0.5;2;trials shown either before of after performing the continuous performance task (CPT);100;university students, west australia;18;1;N/A;1;N/A;2017;533;606;0.912;https://doi.org/10.1007/s10803-017-3198-x
ZPLU;C;summary data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;loc-glo OR glo-loc;as fast and accurate as possible;directed;1;N/A;report feature;visual;1;identity;N/A;random (Stroop-interference);shapes;arrows (left and right);fixed;0.5°;7°;160;N/A;0.5;0;N/A;0.5;1;N/A;128;university students, italy;22;1;N/A;1;N/A;2023;N/A;614;N/A;https://doi.org/10.1007/s10803-021-05412-y
AYEZ;N/A;trial data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;loc-glo-loc-glo OR glo-loc-glo-loc;as quickly and accurately as they could;directed;1;7000;report feature;visual;1;identity;N/A;random (Stroop-interference);letter;S, H;flexible;N/A;N/A;192;N/A;0.5;0;N/A;0.5;1;N/A;151;N/A;23;1;N/A;1;N/A;2023;543;598;0.916;https://doi.org/10.1007/s10803-022-05886-4
SKIQ;;trial data;simple Navon;compound stimulus appears, disappears, participant reports local or global feature depending on instruction;performance;;;directed;1;N/A;report feature;visual;1;;;random (Stroop-interference);;;;;;;;;;;;;;;;;;;1;N/A;2020;;;;https://doi.org/10.1007/s00221-019-05716-7
